(UTC)HistoryTradesWsData;Tipo;Moeda;Valor;Saldo após;Status
26/02/2021 15:07;Compra(ETH/BRL);ETH;+0,01757097ETH(≈R$150.2);0,01757097;Sucesso
26/02/2021 15:07;Taxa de transação;BRL;-R$ 0,15;0;Sucesso
26/02/2021 15:07;Compra(ETH/BRL);BRL;-R$ 149,85;0,15;Sucesso
26/02/2021 14:56;Depósito em Reais;BRL;R$ 150,00;150;Sucesso
25/02/2021 15:50;Investimento;BTC;-0,0014BTC(≈R$395.58);0,00000693;Sucesso
25/02/2021 15:42;Taxa de transação;BTC;-0,00000264BTC(≈R$0.75);0,00140693;Sucesso
25/02/2021 15:42;Compra(BTC/BRL);BTC;+0,00087911BTC(≈R$250.01);0,00140957;Sucesso
25/02/2021 15:42;Compra(BTC/BRL);BRL;-R$ 250,02;0;Sucesso
25/02/2021 15:30;Taxa de transação;XMR;-0,0003192XMR(≈R$0.38);0,1060808;Sucesso
25/02/2021 15:30;Compra(XMR/BRL);XMR;+0,1064XMR(≈R$125.04);0,1064;Sucesso
25/02/2021 15:30;Compra(XMR/BRL);BRL;-R$ 124,98;250,02;Sucesso
25/02/2021 15:29;Taxa de transação;BTC;-0,00000133BTC(≈R$0.38);0,00053046;Sucesso
25/02/2021 15:29;Compra(BTC/BRL);BTC;+0,00044126BTC(≈R$125);0,00053179;Sucesso
25/02/2021 15:29;Compra(BTC/BRL);BRL;-R$ 125,00;375;Sucesso
25/02/2021 14:53;Depósito em Reais;BRL;R$ 500,00;500;Sucesso
24/02/2021 09:52;Bônus;BTC;+0,00001767BTC(≈R$5.08);0,00009053;Sucesso
05/01/2021 19:36;Investimento;BTC;-0,0029BTC(≈R$520.72);0,00007286;Sucesso
03/01/2021 17:12;Compra(BTC/BRL);BTC;+0,00261538BTC(≈R$449.08);0,00297286;Sucesso
03/01/2021 17:12;Taxa de transação;BRL;-R$ 1,35;0;Sucesso
03/01/2021 17:12;Compra(BTC/BRL);BRL;-R$ 448,65;1,35;Sucesso
03/01/2021 17:01;Depósito em Reais;BRL;R$ 450,00;450;Sucesso
02/01/2021 22:20;Taxa de transação;BTC;-0,00000105BTC(≈R$0.18);0,00035748;Sucesso
02/01/2021 22:20;Compra(BTC/BRL);BTC;+0,00020934BTC(≈R$34.96);0,00035853;Sucesso
02/01/2021 22:20;Compra(BTC/BRL);BRL;-R$ 35,00;0;Sucesso
02/01/2021 21:57;Taxa de transação;BTC;-0,00000075BTC(≈R$0.12);0,00014919;Sucesso
02/01/2021 21:57;Compra(BTC/BRL);BTC;+0,00014994BTC(≈R$24.96);0,00014994;Sucesso
02/01/2021 21:57;Compra(BTC/BRL);BRL;-R$ 25,00;35;Sucesso
02/01/2021 21:55;Bônus;BRL;R$ 10,00;60;Sucesso
02/01/2021 21:45;Depósito em Reais;BRL;R$ 50,00;50;Sucesso
